year,month,day,wind_dir,sea_surface_temperature,wvht,water_level,time
1984,9,15,133.33333333333331,NA,NA,NA,1984-09-15
1984,9,16,275,NA,NA,NA,1984-09-16
1984,9,17,231.25,NA,NA,NA,1984-09-17
1984,9,18,223.68421052631578,NA,NA,NA,1984-09-18
1984,9,21,306.6666666666667,NA,NA,NA,1984-09-21
1984,9,22,251.66666666666669,NA,NA,NA,1984-09-22
1984,9,23,211.8181818181818,NA,NA,NA,1984-09-23
1984,9,24,217.08333333333331,NA,NA,NA,1984-09-24
1984,9,25,97.5,NA,NA,NA,1984-09-25
1984,9,26,233.75,NA,NA,NA,1984-09-26
1984,9,27,235,NA,NA,NA,1984-09-27
1984,9,28,209.16666666666669,NA,NA,NA,1984-09-28
1984,9,29,117.5,NA,NA,NA,1984-09-29
1984,9,30,99.58333333333333,NA,NA,NA,1984-09-30
1984,10,1,27.916666666666664,NA,NA,NA,1984-10-01
1984,10,2,95.21739130434784,NA,NA,NA,1984-10-02
1984,10,3,255.83333333333331,NA,NA,NA,1984-10-03
1984,10,4,267.5,NA,NA,NA,1984-10-04
1984,10,5,278.3333333333333,NA,NA,NA,1984-10-05
1984,10,6,292.5,NA,NA,NA,1984-10-06
1984,10,7,221.66666666666666,NA,NA,NA,1984-10-07
1984,10,8,213.33333333333334,NA,NA,NA,1984-10-08
1984,10,9,139.16666666666669,NA,NA,NA,1984-10-09
1984,10,10,138.75,NA,NA,NA,1984-10-10
1984,10,11,241.30434782608694,NA,NA,NA,1984-10-11
1984,10,12,200.83333333333334,NA,NA,NA,1984-10-12
1984,10,13,55.416666666666664,NA,NA,NA,1984-10-13
1984,10,14,29.166666666666664,NA,NA,NA,1984-10-14
1984,10,15,23.333333333333332,NA,NA,NA,1984-10-15
1984,10,16,149.16666666666669,NA,NA,NA,1984-10-16
1984,10,17,89.58333333333334,NA,NA,NA,1984-10-17
1984,10,18,162.08333333333331,NA,NA,NA,1984-10-18
1984,10,19,181.25,NA,NA,NA,1984-10-19
